feature,coefficient,abs_coefficient
cat__payer_id_P001,-0.4824629242453534,0.4824629242453534
num__auth_missing,0.47489843821748784,0.47489843821748784
num__missing_documentation_flag,0.41179309648375706,0.41179309648375706
cat__payer_id_P008,0.40038564363732615,0.40038564363732615
cat__payer_id_P003,0.36536310468020355,0.36536310468020355
cat__payer_type_Commercial,-0.31665982189550085,0.31665982189550085
cat__payer_id_P011,-0.2762976363980565,0.2762976363980565
num__eligibility_verified,-0.2599241270419408,0.2599241270419408
cat__payer_type_Medicaid MCO,0.21290891130237619,0.21290891130237619
cat__payer_id_P006,0.19061648185337748,0.19061648185337748
cat__payer_id_P002,0.18927000697726615,0.18927000697726615
num__referral_missing,0.18601925955549567,0.18601925955549567
num__late_submission,0.18500960570237515,0.18500960570237515
num__referral_required,-0.15294721403987513,0.15294721403987513
cat__payer_id_P009,-0.1306306294148236,0.1306306294148236
num__prior_auth_required,-0.12427668418943863,0.12427668418943863
cat__payer_id_P004,-0.11253237290953995,0.11253237290953995
cat__payer_id_P010,0.11118742038411657,0.11118742038411657
cat__payer_type_Medicare Advantage,0.09823232457241701,0.09823232457241701
cat__payer_id_P012,-0.09451508331500007,0.09451508331500007
cat__payer_id_P007,-0.09296164901995223,0.09296164901995223
cat__payer_id_P005,-0.09238415728095774,0.09238415728095774
num__payment_ratio,-0.08878060007125693,0.08878060007125693
cat__visit_type_Emergency,-0.08853678219614837,0.08853678219614837
num__days_to_submit,0.08787755397874798,0.08787755397874798
cat__visit_type_Inpatient,0.07486061937538518,0.07486061937538518
num__has_prior_auth,0.07366911527207586,0.07366911527207586
num__num_diagnoses,0.06556942332746223,0.06556942332746223
num__payment_gap,0.05596657374664298,0.05596657374664298
num__total_billed,0.04314318869445098,0.04314318869445098
num__service_month_num,-0.043034822080276425,0.043034822080276425
num__is_in_network,-0.03754037208552117,0.03754037208552117
num__referral_present,0.034846753320281046,0.034846753320281046
num__num_procedures,0.02710483055970521,0.02710483055970521
num__expected_payment,0.025694837468420963,0.025694837468420963
cat__visit_type_Observation,-0.025032733949081856,0.025032733949081856
cat__payer_type_BCBS,-0.01944320903070686,0.01944320903070686
cat__visit_type_Outpatient,0.013747101718449522,0.013747101718449522
